ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
ProTa-hacer-1-1,ProTa-hacer-1,a-,1,false,expert,Girard1971,,,
Tak-hacer-1-1,Tak-hacer-1,a-,1,false,expert,Girard1971,,,
Tak-quierohacer-1-1,Tak-quierohacer-1,a-ha,1,false,expert,Girard1971,,,
Was-make-1-1,Was-make-1,age,1,false,expert,Girard1971,,,
Kav-decirhacerpegaratacarpicar-1-1,Kav-decirhacerpegaratacarpicar-1,a-,1,false,expert,Girard1971,,,
Kav-loquehace-1-1,Kav-loquehace-1,a-ya-ke,1,false,expert,Girard1971,,,
Kav-venirahacer-1-1,Kav-venirahacer-1,a-na-,1,false,expert,Girard1971,,,
Kav-venirahacer-2-1,Kav-venirahacer-2,a-na-ti,1,false,expert,Girard1971,,,
Kav-aconsejarensenar-1-1,Kav-aconsejarensenar-1,a-na-ti-a-,1,false,expert,Girard1971,,,
Kav-noestahechosino-1-1,Kav-noestahechosino-1,a-ma-ni,1,false,expert,Girard1971,,,
Ese-decirhacer-1-1,Ese-decirhacer-1,a-ka-,1,false,expert,Girard1971,,,
ProTa-cargar-1-1,ProTa-cargar-1,abu-,1,false,expert,Girard1971,,,
Tak-cargar-1-1,Tak-cargar-1,abu-,1,false,expert,Girard1971,,,
Tak-toparchocarunacosaconotra-1-1,Tak-toparchocarunacosaconotra-1,h-abu-ti,1,false,expert,Girard1971,,,
Tak-cargate-1-1,Tak-cargate-1,h-abu-ti-ke,1,false,expert,Girard1971,,,
Kav-cargar-1-1,Kav-cargar-1,a-bo-ti,1,false,expert,Girard1971,,,
Kav-jasehaz-1-1,Kav-jasehaz-1,abo-ki,1,false,expert,Girard1971,,,
Kav-cargarescobartocar-1-1,Kav-cargarescobartocar-1,abu,1,false,expert,Girard1971,,,
Ese-cargar-1-1,Ese-cargar-1,bao-,1,false,expert,Girard1971,,,
War-cargar-1-1,War-cargar-1,baʔo-,1,false,expert,Girard1971,,,
ProTa-muela-1-1,ProTa-muela-1,amaka,1,false,expert,Girard1971,,,
Tak-muela-1-1,Tak-muela-1,y-amaha,1,false,expert,Girard1971,,,
Kav-quijadacachetemandibula-1-1,Kav-quijadacachetemandibula-1,y-amaka,1,false,expert,Girard1971,,,
Kav-desquijarrar-1-1,Kav-desquijarrar-1,amáka-kwayo,1,false,expert,Girard1971,,,
Ese-muela-1-1,Ese-muela-1,e-amaxa,1,false,expert,Girard1971,,,
War-muela-1-1,War-muela-1,eʔamaha,1,false,expert,Girard1971,,,
ProTa-persuadir-1-1,ProTa-persuadir-1,amere,1,false,expert,Girard1971,,,
Tak-mandarhacer-1-1,Tak-mandarhacer-1,ame,1,false,expert,Girard1971,,,
Kav-persuadir-1-1,Kav-persuadir-1,amere,1,false,expert,Girard1971,,,
ProTa-quedarsetenerestar-1-1,ProTa-quedarsetenerestar-1,ani,1,false,expert,Girard1971,,,
Tak-quedarseestartener-1-1,Tak-quedarseestartener-1,ani-,1,false,expert,Girard1971,,,
Tak-apartarretirarmudardelugar-1-1,Tak-apartarretirarmudardelugar-1,ani-dera-,1,false,expert,Girard1971,,,
Tak-andaraquedarse-1-1,Tak-andaraquedarse-1,ani-seheu-,1,false,expert,Girard1971,,,
Tak-viviendalugarparteolugar-1-1,Tak-viviendalugarparteolugar-1,ani-hude,1,false,expert,Girard1971,,,
Tak-sentar-1-1,Tak-sentar-1,ani-ute-,1,false,expert,Girard1971,,,
Tak-asiento-1-1,Tak-asiento-1,e-ani-hi,1,false,expert,Girard1971,,,
Tak-lindobonitohermoso-1-1,Tak-lindobonitohermoso-1,ani-a,1,false,expert,Girard1971,,,
Tak-muylindo-1-1,Tak-muylindo-1,ani-a-ani-a,1,false,expert,Girard1971,,,
Tak-lindohermoso-1-1,Tak-lindohermoso-1,ani-a-čidi,1,false,expert,Girard1971,,,
Rey-seated-1-1,Rey-seated-1,ani-po-he,1,false,expert,Girard1971,,,
Mar-sientate-1-1,Mar-sientate-1,ani-buteje,1,false,expert,Girard1971,,,
Was-sits-1-1,Was-sits-1,anibuteni,1,false,expert,Girard1971,,,
Aro-ilya-1-1,Aro-ilya-1,eani,1,false,expert,Girard1971,,,
Kav-tenerhayvivirsentirquedar-1-1,Kav-tenerhayvivirsentirquedar-1,ani-,1,false,expert,Girard1971,,,
