ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Alignment,ProtoSet,ConceptInSource
ProtoTakana-hacer-1,,ProtoTakana,hacer,a-,a-,a,None,,27,,,,a(--------),1,hacer
Tacana-hacer-1,,Tacana,hacer,a-,a-,a,None,,27,,,,a(--------),1,hacer
Tacana-hacer-2,,Tacana,hacer,a-ha,a-ha,a + h a,None,Armentia1887,27,,,,a(+ha-----),1,quiero hacer
Guariza-hacer-1,,Guariza,hacer,age,age,a g e,None,,27,,,,a(-ge-----),1,make!
Cavinena-hacer-1,,Cavinena,hacer,a-,a-,a,None,,27,,,,a(--------),1,"decir,hacer,pegar,atacar,picar"
Cavinena-hacer-2,,Cavinena,hacer,"a-ya-ke,a-ye-ke",a-ya-ke,a + j a + k e,a-ya-ke taken from Armentia,,27,,,,a(+ja+ke--),1,lo que hace
Cavinena-hacer-3,,Cavinena,hacer,a-na-,a-na-,a + n a,None,,27,,,,a(+na-----),1,venir a hacer
Cavinena-hacer-4,,Cavinena,hacer,a-na-ti,a-na-ti,a + n a + t i,None,,27,,,,a(+na+ti--),1,venir a hacer
Cavinena-hacer-5,,Cavinena,hacer,a-na-ti-a-,a-na-ti-a-,a + n a + t i + a,None,,27,,,,a(+na+ti+a),1,"aconsejar,enseñar"
Cavinena-hacer-6,,Cavinena,hacer,a-ma-ni,a-ma-ni,a + m a + n i,None,,27,,,,a(+ma+ni--),1,"no está hecho,si no"
EseEjja-hacer-1,,EseEjja,hacer,a-ka-,a-ka-,a + k a,None,,27,,,,a(+ka-----),1,"decir,hacer"
ProtoTakana-cargar-1,,ProtoTakana,cargar,abu-,abu-,a b u,"see also *bu3,*bute",,28,,,,(--)a(-)bu(------),1,cargar
Tacana-cargar-1,,Tacana,cargar,abu-,abu-,a b u,None,,28,,,,(--)a(-)bu(------),1,cargar
Tacana-cargar-2,,Tacana,cargar,h-abu-ti,h-abu-ti,h + a b u + t i,None,Armentia1887,28,,,,(h+)a(-)bu(+ti---),1,"topar,chocar una cosa con otra"
Tacana-cargar-3,,Tacana,cargar,h-abu-ti-ke,h-abu-ti-ke,h + a b u + t i + k e,None,Armentia1887,28,,,,(h+)a(-)bu(+ti+ke),1,cárgate
Cavinena-cargar-1,,Cavinena,cargar,a-bo-ti,a-bo-ti,a + b o + t i,None,,648,,,,(--)a(+)bo(+ti---),1,cargar
Cavinena-cargar-2,,Cavinena,cargar,abo-ki,abo-ki,a b o + k i,None,,649,,,,(--)a(-)b!o/u(+ki---),1,jase (haz)
Cavinena-cargar-3,,Cavinena,cargar,abu,abu,a b u,None,Armentia1887,28,,,,(--)a(-)bu(------),1,"cargar,escobar,tocar"
EseEjja-cargar-1,,EseEjja,cargar,bao-,bao-,b a o,None,,28,,,,(b-)a(-)-o(------),1,cargar
Huarayo-cargar-1,,Huarayo,cargar,baʔo-,baʔo-,b a ʔ o,with metathesis: *bu+a- or not cognate?,,28,,,,(b-)a(-)ʔo(------),1,cargar
ProtoTakana-muela-1,,ProtoTakana,muela,amaka,amaka,a m a k a,see also *maka2,,34,,,,(--)amaka(-----),1,muela
Tacana-muela-1,,Tacana,muela,y-amaha,y-amaha,j + a m a h a,None,,34,,,,(j+)amaha(-----),1,muela
Cavinena-muela-1,,Cavinena,muela,y-amaka,y-amaka,j + a m a k a,None,,34,,,,(j+)amaka(-----),1,"quijada,cachete,mandíbula"
Cavinena-muela-2,,Cavinena,muela,amáka-kwayo,amáka-kwayo,}a m !á/a k a + kʷ a j o,None,Armentia1887,34,,,,(--)am!á/aka(+kʷajo),1,desquijarrar
EseEjja-muela-1,,EseEjja,muela,e-amaxa,e-amaxa,e + a m a x a,None,,34,,,,(e+)amaxa(-----),1,muela
Huarayo-muela-1,,Huarayo,muela,eʔamaha,eʔamaha,e ʔ a m a h a,None,,34,,,,(eʔ)amaha(-----),1,muela
ProtoTakana-persuadir-1,,ProtoTakana,persuadir,amere,amere,a m e r e,"see also *me2,*mere,*bamere",,35,,,,amere,1,persuadir
Tacana-persuadir-1,,Tacana,persuadir,ame,ame,a m e,None,Armentia1887,35,,,,ame--,1,mandar hacer
Cavinena-persuadir-1,,Cavinena,persuadir,amere,amere,a m e r e,None,Armentia1887,35,,,,amere,1,persuadir
ProtoTakana-quedarsetenerestar-1,,ProtoTakana,quedarsetenerestar,ani,ani,a n i,see also *ni,,39,,,,(--)ani(------------),1,"quedarse,tener,estar"
Tacana-quedarsetenerestar-1,,Tacana,quedarsetenerestar,ani-,ani-,a n i,"concepts 'estar,tener' taken from Armentia",,39,,,,(--)ani(------------),1,"quedarse,estar,tener"
Tacana-quedarsetenerestar-2,,Tacana,quedarsetenerestar,ani-dera-,ani-dera-,a n i + d e r a,concept 'mudar de lugar' taken from Armentia,,39,,,,(--)ani(+de--r--a---),1,"apartar,retirar,mudar de lugar"
Tacana-quedarsetenerestar-3,,Tacana,quedarsetenerestar,ani-seheu-,ani-seheu-,a n i + s e h e u,None,,39,,,,(--)ani(+se--he-u---),1,andar a quedarse
Tacana-quedarsetenerestar-4,,Tacana,quedarsetenerestar,ani-hude,ani-hude,a n i + h u d e,concept 'parte ó lugar' taken from Armentia,,39,,,,(--)ani(+hu--d--e---),1,"vivienda,lugar,parte ó lugar"
Tacana-quedarsetenerestar-5,,Tacana,quedarsetenerestar,ani-ute-,ani-ute-,a n i + u t e,None,,39,,,,(--)ani(+-u--t--e---),1,sentar
Tacana-quedarsetenerestar-6,,Tacana,quedarsetenerestar,e-ani-hi,e-ani-hi,e + a n i + h i,None,Armentia1887,39,,,,(e+)ani(+hi---------),1,asiento
Tacana-quedarsetenerestar-7,,Tacana,quedarsetenerestar,ani-a,ani-a,a n i + a,None,,39,,,,(--)ani(+-a---------),1,"lindo,bonito,hermoso"
Tacana-quedarsetenerestar-8,,Tacana,quedarsetenerestar,ani-a-ani-a,ani-a-ani-a,a n i + a + a n i + a,None,,39,,,,(--)ani(-+a+ani--+a-),1,muy lindo
Tacana-quedarsetenerestar-9,,Tacana,quedarsetenerestar,ani-a-čidi,ani-a-čidi,a n i + a + tʃ i d i,None,,39,,,,(--)ani(+-a+-tʃi--di-),1,"lindo, hermoso"
Reyesano-quedarsetenerestar-1,,Reyesano,quedarsetenerestar,ani-po-he,ani-po-he,a n i + p o + h e,None,,39,,,,(--)ani(+po--+h-e---),1,seated
Maropa-quedarsetenerestar-1,,Maropa,quedarsetenerestar,ani-buteje,ani-buteje,a n i + b u t e j e,None,Cardús1886,39,,,,(--)ani(+bu--teje---),1,siéntate
Guariza-quedarsetenerestar-1,,Guariza,quedarsetenerestar,anibuteni,anibuteni,a n i b u t e n i,None,,39,,,,(--)ani(-but--e--n-i),1,sits
Araona-quedarsetenerestar-1,,Araona,quedarsetenerestar,eani,eani,e a n i,None,,39,,,,(e-)ani(------------),1,il y a
Cavinena-quedarsetenerestar-1,,Cavinena,quedarsetenerestar,ani-,ani-,a n i,None,,39,,,,(--)ani(------------),1,"tener,hay,vivir,sentir,quedar"
Cavinena-quedarsetenerestar-2,,Cavinena,quedarsetenerestar,ani-moida,ani-moida,a n i + m o i d a,None,,39,,,,(--)ani(+mo-ida-----),1,vive bien serio
Cavinena-quedarsetenerestar-3,,Cavinena,quedarsetenerestar,ani-bote,ani-bote,a n i + b o t e,None,,39,,,,(--)ani(+bo--te-----),1,"sentar,aterrizar"
Cavinena-quedarsetenerestar-4,,Cavinena,quedarsetenerestar,e-ani-kware,e-ani-kware,e + a n i + kʷ a r e,None,,39,,,,(e+)ani(+kʷa--re-----),1,"pascana,campamento"
Cavinena-quedarsetenerestar-5,,Cavinena,quedarsetenerestar,ani,ani,a n i,None,Armentia1887,39,,,,(--)ani(------------),1,"condición,complexión,zurdo"
Cavinena-quedarsetenerestar-6,,Cavinena,quedarsetenerestar,ani-baekwa,ani-baekwa,a n i + b a e kʷ a,:ani+baekwa 'no sabe',Armentia1887,39,,,,(--)ani(+ba-ekʷa-----),1,errante
Cavinena-quedarsetenerestar-7,,Cavinena,quedarsetenerestar,e-ani-ki,e-ani-ki,e + a n i + k i,None,Armentia1887,39,,,,(e+)ani(+ki---------),1,guarida
Cavinena-quedarsetenerestar-8,,Cavinena,quedarsetenerestar,e-ani-ki-ki,e-ani-ki-ki,e + a n i + k i + k i,None,Armentia1887,39,,,,(e+)ani(+ki-+ki-----),1,matriz
EseEjja-quedarsetenerestar-1,,EseEjja,quedarsetenerestar,ani-oke-,ani-oke-,a n i + o k e,None,,39,,,,(--)ani(+-o--ke-----),1,sentar
EseEjja-quedarsetenerestar-2,,EseEjja,quedarsetenerestar,ani-,ani-,a n i,None,,39,,,,(--)ani(------------),1,estar
EseEjja-quedarsetenerestar-3,,EseEjja,quedarsetenerestar,ani-sowa-ki-,ani-sowa-ki-,a n i + s o w a + k i,None,,39,,,,(--)ani(+sowa+ki----),1,"subir,levantar"
EseEjja-quedarsetenerestar-4,,EseEjja,quedarsetenerestar,ani-kwa,ani-kwa,a n i + kʷ a,None,,39,,,,(--)ani(+kʷa---------),1,de paseo
Huarayo-quedarsetenerestar-1,,Huarayo,quedarsetenerestar,ani-,ani-,a n i,None,,39,,,,(--)ani(------------),1,sentarse
Huarayo-quedarsetenerestar-2,,Huarayo,quedarsetenerestar,ani-ke-,ani-ke-,a n i + k e,None,,39,,,,(--)ani(+ke---------),1,sentarse
Huarayo-quedarsetenerestar-3,,Huarayo,quedarsetenerestar,ani-hi,ani-hi,a n i + h i,None,,39,,,,(--)ani(+hi---------),1,sentado
Huarayo-quedarsetenerestar-4,,Huarayo,quedarsetenerestar,ani-,ani-,a n i,None,,39,,,,(--)ani(------------),1,"vivir,estar"
ProtoTakana-terminaracabar-1,,ProtoTakana,terminaracabar,ape,ape,a p e,see also *pe,,42,,,,(--)ape(------),1,"terminar,acabar"
Tacana-terminaracabar-1,,Tacana,terminaracabar,ape-,ape-,a p e,None,,42,,,,(--)ape(------),1,"terminar,acabar"
Tacana-terminaracabar-2,,Tacana,terminaracabar,y-ape-sa,y-ape-sa,j + a p e + s a,None,,42,,,,(j+)ape(+sa---),1,estoy terminando
Tacana-terminaracabar-3,,Tacana,terminaracabar,ape-hihi,ape-hihi,a p e + h i h i,None,Armentia1887,42,,,,(--)ape(+hih-i),1,acabado
Tacana-terminaracabar-4,,Tacana,terminaracabar,ape-ta-su,ape-ta-su,a p e + t a + s u,None,Armentia1887,42,,,,(--)ape(+ta+su),1,"acabando,cuando se acaba"
Cavinena-terminaracabar-1,,Cavinena,terminaracabar,ape-,ape-,a p e,None,Armentia1887,42,,,,(--)ape(------),1,contradicción
Cavinena-terminaracabar-2,,Cavinena,terminaracabar,ape-a-ki,ape-a-ki,a p e + a + k i,None,Armentia1887,42,,,,(--)ape(+-a+ki),1,contradictor
Cavinena-terminaracabar-3,,Cavinena,terminaracabar,ape-ʔa,ape-ʔa,a p e + ʔ a,None,Armentia1887,42,,,,(--)ape(+ʔa---),1,Contradecir
ProtoTakana-andar-1,,ProtoTakana,andar,ase,ase,a s e,see also *se,,46,,,,ase(-----------),1,andar
Tacana-andar-1,,Tacana,andar,ase-,ase-,a s e,None,,46,,,,ase(-----------),1,andar
Tacana-andar-2,,Tacana,andar,ase-ase-ti-,ase-ase-ti-,a s e + a s e + t i,None,,694,,,,(--)ase(+ase+ti-----),1,ir a cazar
Tacana-andar-3,,Tacana,andar,e-ase-neti,e-ase-neti,e + a s e + n e t i,None,Armentia1887,699,,,,(e+)ase(+-ne-ti-----),1,"caminando,paseando"
Tacana-andar-4,,Tacana,andar,e-ase-tani,e-ase-tani,e + a s e + t a n i,None,Armentia1887,701,,,,(e+)ase(+-ta-ni-----),1,están andando
Reyesano-andar-1,,Reyesano,andar,ade-neti,ade-neti,a d e + n e t i,None,,46,,,,ade(+ne-ti-----),1,walk
Maropa-andar-1,,Maropa,andar,aθe,aθe,a θ e,None,,46,,,,aθe(-----------),1,walk
Cavinena-andar-1,,Cavinena,andar,ahe-,ahe-,a h e,None,,46,,,,ahe(-----------),1,andar
Cavinena-andar-2,,Cavinena,andar,ahe-hida-ma,ahe-hida-ma,a h e + h i d a + m a,None,,46,,,,ahe(---+hida+ma),1,cojo
Cavinena-andar-3,,Cavinena,andar,ahe-ri-,ahe-ri-,a h e + r i,None,,46,,,,ahe(---+ri-----),1,casi hacer
EseEjja-andar-1,,EseEjja,andar,aho-,aho-,a h o,cognate?,,46,,,,aho(-----------),1,errar
ProtoTakana-transitivizingsuffix-1,,ProtoTakana,transitivizingsuffix,a,a,a,equal or related to *a1,,26,,,,a(----),2,transitivizing suffix
Tacana-transitivizingsuffix-1,,Tacana,transitivizingsuffix,-a(-),-a,a,None,,26,,,,a(----),2,transitivizing suffix
Reyesano-transitivizingsuffix-1,,Reyesano,transitivizingsuffix,-a(-),-a,a,None,,26,,,,a(----),2,transitivizing suffix
Cavinena-transitivizingsuffix-1,,Cavinena,transitivizingsuffix,-a(-),-a,a,None,,26,,,,a(----),2,transitivizing suffix
EseEjja-transitivizingsuffix-1,,EseEjja,transitivizingsuffix,-a(-),-a,a,None,,26,,,,a(----),2,transitivizing suffix
Huarayo-transitivizingsuffix-1,,Huarayo,transitivizingsuffix,-a(-),-a,a,None,,26,,,,a(----),3,transitivizing suffix
ProtoTakana-simpleinterrogante-1,,ProtoTakana,simpleinterrogante,a,a,a,None,,26,,,,a(----),3,simple interrogante
Tacana-simpleinterrogante-1,,Tacana,simpleinterrogante,a,a,a,None,Armentia1887,26,,,,a(----),3,simple interrogante
Tacana-simpleinterrogante-2,,Tacana,simpleinterrogante,awa,awa,a w a,None,Armentia1887,26,,,,a(wa--),3,"tal vez,así será,casi lo mismo que a"
Tacana-simpleinterrogante-3,,Tacana,simpleinterrogante,awaʔe,awaʔe,a w a ʔ e,None,Armentia1887,26,,,,a(waʔe),3,"será así,así será"
EseEjja-simpleinterrogante-1,,EseEjja,simpleinterrogante,aʔa,aʔa,a ʔ a,None,,26,,,,a(ʔa--),3,la seña de una interrogación
ProtoTakana-que-1,,ProtoTakana,que,aʔi,aʔi,a ʔ i,None,,55,,,,aʔi(------),3,qué?
Tacana-que-1,,Tacana,que,ai,ai,a i,concept 'algun' taken from Armentia,,55,,,,a-i(------),3,"lo que,qué?,qui cosa?,algun"
Tacana-que-2,,Tacana,que,ai ni da,ai_ni_da,a i + n i + d a,None,Armentia1887,55,,,,a-i(+ni+da),3,qué?
Tacana-que-3,,Tacana,que,ai hia,ai_hia,a i + h i a,None,,55,,,,a-i(+hi--a),3,qué será?
Cavinena-que-1,,Cavinena,que,ai~aʔi,ai,a i,None,,55,,,,a-i(------),3,"qué?,como?"
EseEjja-que-1,,EseEjja,que,ae,ae,a e,None,,55,,,,a-e(------),3,"qué?,quién?,nada!"
ProtoTakana-cosa-1,,ProtoTakana,cosa,aʔikʷana,aʔikʷana,a ʔ i kʷ a n a,None,,57,,,,aʔikʷana,3,cosa
Tacana-cosa-1,,Tacana,cosa,aikwana,aikwana,a i kʷ a n a,None,,57,,,,a-ikʷana,3,cosas
Cavinena-cosa-1,,Cavinena,cosa,aikwana,aikwana,a i kʷ a n a,None,,57,,,,a-ikʷana,3,cualquier cosa
EseEjja-cosa-1,,EseEjja,cosa,akiana,akiana,a k i a n a,None,,57,,,,aki-ana,3,cosa
ProtoTakana-quien-1,,ProtoTakana,quien,aʔira,aʔira,a ʔ i r a,None,,60,,,,aʔira,3,quién
Tacana-quien-1,,Tacana,quien,aiya,aiya,a i j a,None,,60,,,,a-ija,3,quién (trans.)
Cavinena-quien-1,,Cavinena,quien,aira,aira,a i r a,None,Armentia1887,60,,,,a-ira,3,quién
EseEjja-quien-1,,EseEjja,quien,aʔya,aʔya,a ʔ j a,None,,60,,,,aʔ-ja,3,quién
Huarayo-quien-1,,Huarayo,quien,aya,aya,a j a,None,,60,,,,a--ja,3,"qué?,quién?"
ProtoTakana-conque-1,,ProtoTakana,conque,aʔin{e/i}ke,aʔinIke,a ʔ i n !I/i k e,None,,58,,,,aʔin!I/ike,3,con qué?
Tacana-conque-1,,Tacana,conque,ainehe,ainehe,a i n e h e,None,Armentia1887,58,,,,a-inehe,3,con qué?
EseEjja-conque-1,,EseEjja,conque,ánixe,ánixe,!á/a n i x e,None,,58,,,,!á/a--nixe,3,con quién?
ProtoTakana-paraque-1,,ProtoTakana,paraque,aʔipuki,aʔipuki,a ʔ i p u k i,None,,59,,,,aʔipuki,3,para qué?
Tacana-paraque-1,,Tacana,paraque,aipuhi,aipuhi,a i p u h i,None,Armentia1887,59,,,,a-ipuhi,3,para qué?
EseEjja-paraque-1,,EseEjja,paraque,apioxi,apioxi,a p i o x i,None,,59,,,,api-oxi,3,por qué?
ProtoTakana-dequien-1,,ProtoTakana,dequien,aʔisa,aʔisa,a ʔ i s a,None,,61,,,,aʔisa(----),3,de quién
Tacana-dequien-1,,Tacana,dequien,aisa,aisa,a i s a,None,,61,,,,a-isa(----),3,de quién
Cavinena-dequien-1,,Cavinena,dequien,aiha-kie,aiha-kie,a i h a + k i e,None,Armentia1887,61,,,,a-iha(+kie),3,cuyo
EseEjja-dequien-1,,EseEjja,dequien,ahea,ahea,a h e a,None,,61,,,,ahe-a(----),3,de quién?
ProtoTakana-quien-2,,ProtoTakana,quien,aʔize,aʔize,a ʔ i z e,None,,62,,,,(-)aʔi(-------ze),3,quién
Tacana-quien-2,,Tacana,quien,aidhe,aidhe,a.i ð e,None,,62,,,,(-)a.iðe(---------),3,quién
