ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGID	SOURCE	PROTOSET	CONCEPTINSOURCE	UNCERTAINCOGNACY
1608	ProtoTakana	*1P	ei-	ei-	e i	see also *c̣e2,*kwana	192		151	1P	
1609	Tacana	*1P	e-ma	e-ma	e + m a		192		151	I (intr.)	
1610	Tacana	*1P	yama	yama	j a m a		192		151	I (tr.)	
1611	Tacana	*1P	e-ma-mewa	e-ma-mewa	e + m a + m e w a		192		151	yo solo	
1612	Tacana	*1P	e-ma-nehe	e-ma-nehe	e + m a + n e h e		192		151	conmigo	
1613	Reyesano	*1P	e-me	e-me	e + m e		192		151	I	
1614	Maropa	*1P	éme	éme	é/e m e		192	Heath1883	151	I	
1615	Araona	*1P	ema,yama	ema	e m a		192		151	I	
1616	Cavinena	*1P	e-ra	e-ra	e + r a		192		151	I (tr.)	
1617	Cavinena	*1P	i-ke	i-ke	i + k e	Armentia: <yequia>	192		151	I (intr.)	
1618	Cavinena	*1P	i-ta	i-ta	i + t a		192		151	yo solo,yo mismo	
1619	Cavinena	*1P	iakeha	iakeha	i a k e h a		192		151	hacía mí	
1620	Cavinena	*1P	iacewe	iacewe	i a ts e β e	Armentia: <eatseve>	192		151	conmigo	
1621	Cavinena	*1P	yace	yace	j a ts e		192		151	nosotros dos	
1622	EseEjja	*1P	ea~eyaya	ea	e a		192		151	yo	
2752	ProtoTakana	*2da persona	mi-	mi-	m i		312		292	2da persona	
2753	Tacana	*2da persona	mi-ke	mi-ke	m i + k e		312		292	thy	
2754	Tacana	*2da persona	mi-kwana-sa	mi-kwana-sa	m i + kʷ a n a + s a		312		292	you (pl)	
2755	Tacana	*2da persona	mi-a-da	mi-a-da	m i + a + d a		312		292	Usted (trans.),tú (trans.)	
2756	Tacana	*2da persona	mi-kwane-da	mi-kwane-da	m i + kʷ a n e + d a		312		292	Ustedes (pl)	
2757	Tacana	*2da persona	mi-da	mi-da	m i + d a		312		292	Usted (intr.),tú (intr.)	
2758	Tacana	*2da persona	mi-mewa	mi-mewa	m i + m e w a		312		292	Usted solo	
2759	Tacana	*2da persona	mi-ke-da	mi-ke-da	m i + k e + d a		312		292	de Usted,de tí	
2760	Reyesano	*2da persona	mibhe	mibhe	m i β e		312		292	you (sg)	
2761	Maropa	*2da persona	mive	mive	m i β e		312		292	you	
2762	Araona	*2da persona	mitya	mitya	m i t j a		312		292	tu	
2763	Araona	*2da persona	mike	mike	m i k e		312		292	de toi	
2764	Araona	*2da persona	mida	mida	m i d a		312		292	à toi	
2765	Cavinena	*2da persona	mi-kwana	mi-kwana	m i + kʷ a n a		312		292	ustedes (intr.)	
2766	Cavinena	*2da persona	mi-ra	mi-ra	m i + r a		312		292	V. (trans.),tú (trans.)	
2767	Cavinena	*2da persona	mi-kwana-ra	mi-kwana-ra	m i + kʷ a n a + r a		312		292	Vds. (trans.)	
2768	Cavinena	*2da persona	mi-kwi-ke	mi-kwi-ke	m i + kʷ i + k e		312		292	suyo (de Vd.)	
