Grapheme	IPA	Frequence	Codepoints
a	a	5635	U+0061
-	NULL	4743	U+002d
i	i	3474	U+0069
e	e	3377	U+0065
u	u	1338	U+0075
n	n	1143	U+006e
k	k	1140	U+006b
t	t	1068	U+0074
h	h	1037	U+0068
o	o	1003	U+006f
b	b	990	U+0062
m	m	960	U+006d
d	d	773	U+0064
p	p	705	U+0070
r	r	668	U+0072
w	w	662	U+0077
s	s	639	U+0073
kw	kʷ	509	U+006b U+0077
c	c	405	U+0063
y	y	321	U+0079
x	x	243	U+0078
č	č	198	U+010d
_	_	162	U+005f
š	š	159	U+0161
ʔ	ʔ	153	U+0294
ř	ř	111	U+0159
dh	dh	100	U+0064 U+0068
v	v	83	U+0076
á	á	82	U+00e1
z	z	70	U+007a
c̣	c̣	64	U+0063 U+0323
é	é	59	U+00e9
.	NULL	57	U+002e
ñ	ɲ	52	U+00f1
aa	aː	48	U+0061 U+0061
j	j	43	U+006a
ee	eː	41	U+0065 U+0065
í	í	35	U+00ed
ii	iː	32	U+0069 U+0069
ch	ch	27	U+0063 U+0068
ó	ó	19	U+00f3
g	g	15	U+0067
th	tʰ	15	U+0074 U+0068
bh	bh	12	U+0062 U+0068
l	l	10	U+006c
θ	θ	9	U+03b8
ú	ú	9	U+00fa
ts	ts	9	U+0074 U+0073
oo	oː	9	U+006f U+006f
q	q	7	U+0071
+	+	6	U+002b
bb	bb	5	U+0062 U+0062
ä	ä	5	U+00e4
és	és	5	U+00e9 U+0073
ù	ù	4	U+00f9
ns	ns	3	U+006e U+0073
uu	uː	3	U+0075 U+0075
éh	éh	3	U+00e9 U+0068
pp	pp	2	U+0070 U+0070
'd	d	2	U+0027 U+0064
*	<?>	2	U+002a
ss	ss	2	U+0073 U+0073
N	<?>	2	U+004e
ˈu	u	2	U+02c8 U+0075
gw	gw	2	U+0067 U+0077
è	è	2	U+00e8
nn	nn	2	U+006e U+006e
c̹	c̹	2	U+0063 U+0339
<	<?>	2	U+003c
>	<?>	2	U+003e
û	û	2	U+00fb
sh	sh	2	U+0073 U+0068
kʷ	kʷ	1	U+006b U+02b7
aʔin{e	<???>	1	U+0061 U+0294 U+0069 U+006e U+007b U+0065
nsh	nsh	1	U+006e U+0073 U+0068
â	â	1	U+00e2
ā	ā	1	U+0101
sw	sw	1	U+0073 U+0077
ī	ī	1	U+012b
ˈe	e	1	U+02c8 U+0065
îs	îs	1	U+00ee U+0073
ï	ï	1	U+00ef
ésh	ésh	1	U+00e9 U+0073 U+0068
tt	tt	1	U+0074 U+0074
f	f	1	U+0066
eman{u	<???>	1	U+0065 U+006d U+0061 U+006e U+007b U+0075
mm	mm	1	U+006d U+006d
m{e	<???>	1	U+006d U+007b U+0065
ès	ès	1	U+00e8 U+0073
äs	äs	1	U+00e4 U+0073
mew{i	<???>	1	U+006d U+0065 U+0077 U+007b U+0069
řař{e	<???>	1	U+0159 U+0061 U+0159 U+007b U+0065
óh	óh	1	U+00f3 U+0068
ww	ww	1	U+0077 U+0077
wap{a	<???>	1	U+0077 U+0061 U+0070 U+007b U+0061
w{a	<???>	1	U+0077 U+007b U+0061
äh	äh	1	U+00e4 U+0068
éw	éw	1	U+00e9 U+0077
wuř{a	<???>	1	U+0077 U+0075 U+0159 U+007b U+0061
zař{a	<???>	1	U+007a U+0061 U+0159 U+007b U+0061
<{s	<???>	1	U+003c U+007b U+0073
ziz{a	<???>	1	U+007a U+0069 U+007a U+007b U+0061
