GLOSS	PROTO_ID	PROTO_CONCEPT
quiero hacer	1	*hacer
make!	1	*hacer
decir,hacer,pegar,atacar,picar	1	*hacer
lo que hace	1	*hacer
venir a hacer	1	*hacer
aconsejar,enseñar	1	*hacer
no está hecho,si no	1	*hacer
decir,hacer	1	*hacer
topar,chocar una cosa con otra	1	*cargar
cárgate	1	*cargar
jase (haz)	1	*cargar
cargar,escobar,tocar	1	*cargar
quijada,cachete,mandíbula	1	*muela
desquijarrar	1	*muela
mandar hacer	1	*persuadir
quedarse,estar,tener	1	*quedarse,*tener,*estar
apartar,retirar,mudar de lugar	1	*quedarse,*tener,*estar
andar a quedarse	1	*quedarse,*tener,*estar
vivienda,lugar,parte ó lugar	1	*quedarse,*tener,*estar
sentar	1	*quedarse,*tener,*estar
asiento	1	*quedarse,*tener,*estar
lindo,bonito,hermoso	1	*quedarse,*tener,*estar
muy lindo	1	*quedarse,*tener,*estar
lindo, hermoso	1	*quedarse,*tener,*estar
seated	1	*quedarse,*tener,*estar
siéntate	1	*quedarse,*tener,*estar
sits	1	*quedarse,*tener,*estar
il y a	1	*quedarse,*tener,*estar
tener,hay,vivir,sentir,quedar	1	*quedarse,*tener,*estar
vive bien serio	1	*quedarse,*tener,*estar
sentar,aterrizar	1	*quedarse,*tener,*estar
pascana,campamento	1	*quedarse,*tener,*estar
condición,complexión,zurdo	1	*quedarse,*tener,*estar
errante	1	*quedarse,*tener,*estar
guarida	1	*quedarse,*tener,*estar
matriz	1	*quedarse,*tener,*estar
estar	1	*quedarse,*tener,*estar
subir,levantar	1	*quedarse,*tener,*estar
de paseo	1	*quedarse,*tener,*estar
sentarse	1	*quedarse,*tener,*estar
sentado	1	*quedarse,*tener,*estar
vivir,estar	1	*quedarse,*tener,*estar
estoy terminando	1	*terminar,*acabar
acabado	1	*terminar,*acabar
acabando,cuando se acaba	1	*terminar,*acabar
contradicción	1	*terminar,*acabar
contradictor	1	*terminar,*acabar
Contradecir	1	*terminar,*acabar
ir a cazar	1	*andar
caminando,paseando	1	*andar
están andando	1	*andar
walk	1	*andar
cojo	1	*andar
casi hacer	1	*andar
errar	1	*andar
transitivizing suffix	3	*transitivizing suffix
tal vez,así será,casi lo mismo que a	3	*simple interrogante
será así,así será	3	*simple interrogante
la seña de una interrogación	3	*simple interrogante
lo que,qué?,qui cosa?,algun	3	*qué?
qué será?	3	*qué?
qué?,como?	3	*qué?
qué?,quién?,nada!	3	*qué?
cosas	3	*cosa
cualquier cosa	3	*cosa
quién (trans.)	3	*quién
qué?,quién?	3	*quién
con quién?	3	*con qué?
por qué?	3	*para qué?
cuyo	3	*de quién
de quién?	3	*de quién
quién?	3	*quién
quién será?	3	*quién
quienes	3	*quién
algo	3	*quién
who?	3	*quién
cual	3	*quién
de qué tamaño?	3	*quién
cuantos días?	3	*quién
cuantos?	3	*quién
donde está?	3	*quién
de donde?	3	*quién
cuándo?	3	*quién
cuál?	3	*quién
cuándo	3	*quién
cuánto(s)	3	*quién
por donde	3	*quién
no	3	*interrogación
no,no hay	3	*interrogación
avec qui?	3	*interrogación
donde	3	*interrogación
como se dice	3	*interrogación
qué es esto	3	*interrogación
qué es eso	3	*interrogación
que	3	*interrogación
no hay	3	*interrogación
impossible	3	*interrogación
así lo hace	3	*interrogación
para hacer	3	*interrogación
abundancia	3	*interrogación
abundar	3	*interrogación
a donde?	3	*interrogación
cómo?	3	*interrogación
cómo se hace?	3	*interrogación
cómo está Usted?	3	*interrogación
dónde está?	3	*interrogación
espera!	3	*interrogación
que es esto?	3	*interrogación
barbasco (bejuco)	4	*barbasco
resina de paquió	4	*barbasco
pampa,pajonal	5	*pampa
grass	5	*pampa
grassland	5	*pampa
pampa,paja	5	*pampa
teta	6	*teta
tetilla	6	*teta
testes	6	*teta
leche	6	*teta
breast	6	*teta
breasts	6	*teta
leche,ubre	6	*teta
chontaloro (palmera)	7	*chontaloro
árbol,palo	8	*árbol
espina	8	*árbol
suchi (pez)	8	*árbol
manzana silvestre (árbol)	8	*árbol
gavetillo (árbol)	8	*árbol
árbol de cacao	8	*árbol
tree	8	*árbol
leaf	8	*árbol
bi (árbol y fruta)	8	*árbol
clase de árbol	8	*árbol
rama de yuca	8	*árbol
bagre (pez)	8	*árbol
naranjo	8	*árbol
garrotear	8	*árbol
callapo	8	*árbol
coquino	8	*árbol
quemaquema	8	*árbol
gaveta	8	*árbol
árbol,palanca	8	*árbol
spine	8	*árbol
hemorragia,flujo	11	*sangre
disentería	11	*sangre
salir sangre	11	*sangre
acusarse	11	*sangre
blood	11	*sangre
vena	11	*sangre
hemorragia	11	*sangre
ensangrentar	11	*sangre
exangüe,incruento	11	*sangre
hemorragio	11	*sangre
desangrar	11	*sangre
lengua mala	12	*lengua
tongue	12	*lengua
lingua	12	*lengua
lengua,ley,orden,costumbre,idioma	12	*lengua
obedecer,complir,hacer caso	12	*lengua
palador	12	*lengua
zonzo,opa,mudo	12	*lengua
mentira,falso,de balde	12	*lengua
regalar	12	*lengua
punto de lengua	12	*lengua
lengua chuta	12	*lengua
Zunge	12	*lengua
palo santo (árbol)	13	*palo santo
palo santo,hormiga de palo santo	13	*palo santo
palo santo (y hormiga)	13	*palo santo
mujer vieja	14	*mujer
woman	14	*mujer
abuela	14	*mujer
abuela,suegra	14	*mujer
old woman	14	*mujer
obscurar	16	*obscuro
de noche,en la noche	16	*obscuro
de mañana	16	*obscuro
de madrugada	16	*obscuro
night	16	*obscuro
oscuro	16	*obscuro
nublado,obscuro,madrugada	16	*obscuro
obscuro,de noche	16	*obscuro
anochecer,oscurecer	16	*obscuro
sombra	16	*obscuro
perder,desaparecer	16	*obscuro
perder su color	16	*obscuro
eclipse del sol	16	*obscuro
entenebrear	16	*obscuro
